Name;RAJ2000;DEJ2000;Type1;Type2;mag1;Orb.Per;SpType2;SpType1;Incl;M1;M2
HW Boo      ;13 43 23.2;+15 09 17;DN;  ;17.5; 0.064350;       ;       ;    ;      ;
J0935+1619  ;09 35 37.5;+16 19 51;CV;NL;18.5; 0.064059;       ;       ;    ;      ;
J0127-5817  ;01 27 54.5;-58 17 17;DN;SU;19.9; 0.064000;       ;       ;    ;      ;
J0252-3959  ;02 52 48.2;-39 59 11;DN;SU;19.7; 0.064000;       ;       ;    ;      ;
J0507+1253  ;05 07 16.2;+12 53 15;DN;SU;20.5; 0.064000;       ;       ;    ;      ;
J1442-2250  ;14 42 52.0;-22 50 39;DN;SU;21.5; 0.064000;       ;       ;    ;      ;
J1604+1456  ;16 04 10.6;+14 56 19;DN;SU;21.7; 0.064000;       ;       ;    ;      ;
J1703+6607  ;17 03 43.0;+66 07 45;DN;SU;21.0; 0.064000;       ;       ;    ;      ;
J2144+2220  ;21 44 26.4;+22 20 25;DN;SU;17.1; 0.064000;       ;       ;    ;      ;
J0945+2922  ;09 45 58.2;+29 22 53;NL;  ;19.1; 0.063900;       ;       ;    ;      ;
J1944-4202  ;19 44 27.8;-42 02 09;NL;AM;16.3; 0.063850;       ;       ;    ;      ;
J1817-2508  ;18 17 22.2;-25 08 43;NL;IP;16.9; 0.063800;       ;       ;    ;      ;
J1312+1736  ;13 12 23.5;+17 37 00;NL;AM;19.1; 0.063785;       ;       ;    ;      ;
V632 Cyg    ;21 36 04.2;+40 26 19;DN;SU;18.0; 0.063770;       ;       ;    ;      ;
V476 Peg    ;21 54 33.7;+35 50 17;DN;SU;18.1; 0.063700;       ;       ;    ;      ;
ER UMa      ;09 47 11.8;+51 54 09;DN;SU;15.8; 0.063660;       ;       ;    ;      ;
J0039+0054  ;00 39 41.1;+00 54 28;DN;  ;20.6; 0.063469;       ;       ;    ;      ;
V453 Nor    ;16 00 47.5;-48 46 05;DN;SU;17.9; 0.063380;       ;       ;    ;      ;
QZ Lib      ;15 36 16.0;-08 39 07;DN;SU;17.5; 0.063300;       ;       ;    ;      ;
QZ Aqr      ;21 31 22.4;-00 39 37;DN;SU;21.4; 0.063300;       ;       ;    ;      ;
MR UMa      ;11 31 22.4;+43 22 38;DN;SU;16.7; 0.063300;       ;       ;    ;      ;
J1321+5609  ;13 21 04.0;+56 09 58;NL;AM;16.3; 0.063235;       ;       ;    ;      ;
J1440+4947  ;14 40 11.0;+49 47 34;DN;SU;21.2; 0.063200;       ;       ;    ;      ;
OY Car      ;10 06 22.4;-70 14 05;DN;SU;16.7; 0.063121;M8-9/5 ;       ;83.3; 0.640; 0.086
J1125-0016  ;11 25 55.7;-00 16 38;DN;  ;19.7; 0.063100;       ;       ;    ;      ;
V1227 Her   ;16 53 59.1;+20 10 10;DN;SU;17.5; 0.063100;       ;       ;    ;      ;
VY Aqr      ;21 12 09.2;-08 49 37;DN;SU;17.1; 0.063090;M0-6  :;       ;    ;      ;
J0248+5012  ;02 48 48.1;+50 12 39;DN;SU;22.1; 0.063000;       ;       ;    ;      ;
J0729+5938  ;07 29 48.6;+59 38 25;DN;SU;19.8; 0.063000;       ;       ;    ;      ;
J0734+2713  ;07 34 18.7;+27 13 09;DN;SU;20.3; 0.063000;       ;       ;    ;      ;
J1400+5723  ;14 00 38.0;+57 23 41;DN;SU;19.3; 0.063000;       ;       ;    ;      ;
J1411+2620  ;14 11 43.5;+26 20 52;DN;SU;21.7; 0.063000;       ;       ;    ;      ;
J1519-2440  ;15 19 29.6;-24 40 01;DN;SU;22.4; 0.063000;       ;       ;    ;      ;
J2004+4420  ;20 04 23.1;+44 20 30;DN;SU;20.2; 0.063000;       ;       ;    ;      ;
J2142+1536  ;21 42 54.3;+15 36 42;DN;SU;22.6; 0.063000;       ;       ;    ;      ;
J1919-4945  ;19 19 08.8;-49 45 41;DN;SU;21.5; 0.062980;       ;       ;    ;      ;
GP CVn      ;12 27 40.8;+51 39 25;DN;SU;19.1; 0.062950;       ;       ;84.3; 0.800; 0.089
TV Crv      ;12 20 24.2;-18 27 02;DN;SU;18.7; 0.062900;       ;       ;    ;      ;
V5662 Sgr   ;20 05 51.2;-29 34 58;DN;  ;15.9; 0.062890;       ;       ;    ;      ;
EK TrA      ;15 14 01.0;-65 05 35;DN;SU;16.7; 0.062880;       ;       ;58.0; 0.460; 0.090
J0333-4451  ;03 33 20.6;-44 51 42;DN;  ;17.3; 0.062860;       ;       ;    ;      ;
J1057+2759  ;10 57 54.2;+27 59 48;DN;  ;19.0; 0.062810;       ;       ;    ;      ;
HO Del      ;20 36 55.5;+14 03 09;DN;SU;17.8; 0.062700;       ;       ;    ;      ;
J1631+1031  ;16 31 20.9;+10 31 34;DN;SU;18.0; 0.062700;       ;       ;    ;      ;
J1300+1151  ;13 00 30.3;+11 51 01;DN;SU;19.5; 0.062670;       ;       ;    ;      ;
J1745-2905  ;17 45 32.7;-29 05 52;NL;AM;    ; 0.062611;       ;       ;    ;      ;
BC UMa      ;11 52 15.9;+49 14 42;DN;SU;18.6; 0.062610;M6-7/5 ;       ;    ;      ;
EU UMa      ;11 49 55.7;+28 45 08;NL;AM;16.6; 0.062600;       ;       ;    ;      ;
V347 Pav    ;18 44 48.3;-74 18 34;NL;AM;15.2; 0.062557;       ;       ;68.0;      ;
J0257+3337  ;02 57 37.7;+33 37 51;NL;AM;18.3; 0.062508;       ;       ;    ;      ;
V436 Cen    ;11 14 00.1;-37 40 49;DN;SU;15.3; 0.062501;M7-9/5 ;       ;65.0; 0.700; 0.170
SY Cap      ;20 29 47.5;-15 54 38;DN;SU;18.8; 0.062500;       ;       ;    ;      ;
J0502+1624  ;05 02 50.9;+16 24 22;NL;AM;13.9; 0.062500;       ;       ;    ;      ;
V2051 Oph   ;17 08 19.1;-25 48 31;DN;SU;15.0; 0.062428;M6-8/5 ;       ;83.0; 0.780; 0.150
DP Leo      ;11 17 16.0;+17 57 41;NL;AM;17.5; 0.062363;       ;       ;81.0; 1.200; 0.140
J1325+2100  ;13 25 36.1;+21 00 37;DN;  ;19.5; 0.062238;       ;       ;    ;      ;
V1159 Ori   ;05 28 59.5;-03 33 53;DN;SU;13.6; 0.062178;       ;       ;    ;      ;
V402 And    ;00 11 07.3;+30 32 36;DN;SU;20.3; 0.062100;       ;       ;    ;      ;
V1141 Aql   ;19 37 09.8;+02 36 01;DN;SU;19.5; 0.062020;       ;       ;    ;      ;
CG CMa      ;07 04 05.2;-23 45 34;DN;SU;22.0; 0.062000;       ;       ;    ;      ;
V611 Her    ;16 44 49.4;+19 59 40;DN;SU;20.7; 0.062000;       ;       ;    ;      ;
J0301+4011  ;03 01 28.8;+40 11 05;DN;SU;19.2; 0.062000;       ;       ;    ;      ;
J0600+1426  ;06 00 10.0;+14 26 13;DN;SU;20.4; 0.062000;       ;       ;    ;      ;
J0754+3132  ;07 54 14.5;+31 32 16;DN;SU;19.6; 0.062000;       ;       ;    ;      ;
J1107-6108  ;11 07 20.6;-61 08 33;DN;SU;20.3; 0.062000;       ;       ;    ;      ;
J1127-2822  ;11 27 26.0;-28 22 12;DN;SU;21.3; 0.062000;       ;       ;    ;      ;
J1202-4541  ;12 02 51.6;-45 41 16;DN;SU;19.6; 0.062000;       ;       ;    ;      ;
J1239-4716  ;12 39 56.2;-47 16 24;DN;SU;18.3; 0.062000;       ;       ;    ;      ;
J1917-5657  ;19 17 56.8;-56 57 58;DN;SU;21.3; 0.062000;       ;       ;    ;      ;
J2032+0305  ;20 32 37.5;+03 05 25;DN;SU;21.1; 0.062000;       ;       ;    ;      ;
J2120+1941  ;21 20 25.2;+19 41 57;DN;SU;21.9; 0.062000;       ;       ;    ;      ;
CP Tuc      ;23 15 19.1;-59 10 28;NL;AM;16.4; 0.061832;       ;       ;    ;      ;
J1832-1001  ;18 32 51.6;-10 01 05;NL;AM;21.6; 0.061800;       ;       ;    ;      ;
DT Pyx      ;09 18 58.5;-29 42 37;DN;SU;17.5; 0.061650;       ;       ;    ;      ;
J1514+0744  ;15 14 15.7;+07 44 47;NL;AM;18.6; 0.061610;       ;       ;    ;      ;
J1050-1404  ;10 50 11.0;-14 04 37;DN;WZ;17.5; 0.061500;       ;       ;    ;      ;
V4140 Sgr   ;19 58 49.7;-38 56 12;DN;SU;17.5; 0.061430;       ;       ;80.2; 0.730; 0.090
V379 Vir    ;12 12 09.3;+01 36 28;NL;AM;18.0; 0.061412;L7-8   ;       ;78.5;      ;
J1025-1542  ;10 25 22.0;-15 42 24;DN;SU;19.3; 0.061360;       ;       ;    ;      ;
CP Pup      ;08 11 46.0;-35 21 06;Na;SH;19.5; 0.061264;       ;       ;    ;      ;
J0332+0204  ;03 32 31.9;+02 04 39;DN;SU;19.8; 0.061210;       ;       ;    ;      ;
XZ Eri      ;04 11 25.8;-15 23 24;DN;SU;18.8; 0.061159;       ;       ;80.0; 0.770; 0.091
J1537-2440  ;15 37 56.9;-24 40 14;DN;SU;21.5; 0.061010;       ;       ;    ;      ;
J0141+0908  ;01 41 50.4;+09 08 22;DN;SU;20.4; 0.061000;       ;       ;    ;      ;
J0243-1603  ;02 43 54.1;-16 03 14;DN;SU;20.1; 0.061000;       ;       ;    ;      ;
J0439+4242  ;04 39 15.5;+42 42 33;DN;SU;21.1; 0.061000;       ;       ;    ;      ;
J0449+3605  ;04 49 32.3;+36 05 14;DN;SU;17.1; 0.061000;       ;       ;    ;      ;
J0506-1659  ;05 06 59.2;-16 59 32;DN;SU;19.3; 0.061000;       ;       ;    ;      ;
J0528+3618  ;05 28 55.7;+36 18 39;DN;SU;20.3; 0.061000;       ;       ;    ;      ;
J0559-5125  ;05 59 24.1;-51 25 22;DN;SU;21.1; 0.061000;       ;       ;    ;      ;
J0907-1042  ;09 07 05.4;-10 42 45;DN;SU;21.9; 0.061000;       ;       ;    ;      ;
J1015+0333  ;10 15 45.5;+03 33 13;DN;SU;19.0; 0.061000;       ;       ;    ;      ;
J1038-3654  ;10 38 59.9;-36 54 42;DN;SU;21.0; 0.061000;       ;       ;    ;      ;
J1623+6500  ;16 23 14.4;+65 00 38;DN;SU;21.0; 0.061000;       ;       ;    ;      ;
J1822+3249  ;18 22 01.9;+32 49 08;DN;SU;21.0; 0.061000;       ;       ;    ;      ;
J2031+5119  ;20 31 55.1;+51 19 39;DN;SU;20.2; 0.061000;       ;       ;    ;      ;
AQ Eri      ;05 06 13.0;-04 08 07;DN;SU;17.5; 0.060940;       ;       ;    ;      ;
UZ Boo      ;14 44 01.3;+22 00 56;DN;SU;19.8; 0.060900;       ;       ;    ;      ;
J1751-2936  ;17 51 19.4;-29 36 59;NL;AM;22.6; 0.060900;       ;       ;    ;      ;
J2037+5522  ;20 37 49.3;+55 22 10;DN;SU;20.4; 0.060620;       ;       ;    ;      ;
V1028 Cyg   ;20 00 56.6;+56 56 37;DN;SU;19.0; 0.060600;       ;       ;    ;      ;
J1853-0128  ;18 53 30.7;-01 28 16;NL;IP;17.1; 0.060600;       ;       ;    ;      ;
J2048-0610  ;20 48 17.9;-06 10 45;DN;SU;19.5; 0.060597;       ;       ;    ;      ;
FL Cet      ;01 55 43.4;+00 28 07;NL;AM;15.0; 0.060516;       ;       ;    ;      ;
IW Eri      ;04 25 55.2;-19 45 30;NL;AM;16.6; 0.060500;       ;       ;    ;      ;
Lanning 420 ;22 02 43.1;+59 03 21;DN;SU;20.6; 0.060500;       ;       ;    ;      ;
KX Aql      ;19 33 53.7;+14 17 47;DN;SU;18.4; 0.060350;       ;       ;    ;      ;
J0813-0103  ;08 13 18.5;-01 03 28;DN;SU;15.6; 0.060311;       ;       ;    ;      ;
RX Vol      ;08 39 32.3;-66 17 39;DN;SU;22.0; 0.060300;       ;       ;    ;      ;
V1040 Cen   ;11 55 27.1;-56 41 53;DN;SU;14.6; 0.060296;       ;       ;    ;      ;
MM Sco      ;17 30 45.3;-42 11 41;DN;SU;18.5; 0.060200;       ;       ;    ;      ;
V496 Aur    ;07 27 52.3;+40 46 54;DN;SU;21.7; 0.060000;       ;       ;    ;      ;
KK Cnc      ;08 07 14.3;+11 38 13;DN;SU;20.9; 0.060000;       ;       ;    ;      ;
DY CMi      ;07 47 27.6;+06 50 50;DN;SU;19.5; 0.060000;       ;       ;    ;      ;
VX For      ;03 26 45.7;-34 26 25;DN;SU;19.0; 0.060000;       ;       ;    ;      ;
CI UMa      ;10 18 13.0;+71 55 43;DN;SU;19.1; 0.060000;       ;       ;    ;      ;
J0019+4649  ;00 19 52.3;+46 49 33;DN;SU;21.3; 0.060000;       ;       ;    ;      ;
J0157+5110  ;01 57 46.1;+51 10 24;DN;SU;20.4; 0.060000;       ;       ;    ;      ;
J0646+4033  ;06 46 08.2;+40 33 05;DN;SU;17.5; 0.060000;       ;       ;    ;      ;
J0911-7756  ;09 11 51.8;-77 56 34;DN;SU;21.3; 0.060000;       ;       ;    ;      ;
J1036-6337  ;10 36 19.8;-63 37 33;DN;SU;21.6; 0.060000;       ;       ;    ;      ;
J1051+6725  ;10 51 22.9;+67 25 29;DN;SU;19.0; 0.060000;       ;       ;    ;      ;
J1324-1951  ;13 24 39.9;-19 51 29;DN;SU;20.5; 0.060000;       ;       ;    ;      ;
J1405-1902  ;14 05 22.9;-19 02 09;DN;SU;21.0; 0.060000;       ;       ;    ;      ;
J1649+1402  ;16 49 25.4;+14 02 44;DN;SU;21.2; 0.060000;       ;       ;    ;      ;
J1720+1838  ;17 20 38.7;+18 38 02;DN;SU;20.8; 0.060000;       ;       ;    ;      ;
J1734+4342  ;17 34 32.5;+43 42 19;DN;SU;22.7; 0.060000;       ;       ;    ;      ;
J1953+1859  ;19 53 27.2;+18 59 13;DN;SU;20.4; 0.060000;       ;       ;    ;      ;
J2009-6326  ;20 09 24.1;-63 26 23;DN;SU;19.9; 0.060000;       ;       ;    ;      ;
J2210+3046  ;22 10 25.2;+30 46 06;DN;SU;20.5; 0.060000;       ;       ;    ;      ;
J2247-3622  ;22 47 39.7;-36 22 53;DN;SU;20.7; 0.060000;       ;       ;    ;      ;
J2253+3553  ;22 53 44.4;+35 53 54;DN;SU;20.9; 0.060000;       ;       ;    ;      ;
J1250+1549  ;12 50 44.4;+15 49 58;NL;AM;18.3; 0.059950;       ;       ;    ;      ;
J1743+5203  ;17 43 48.6;+52 03 46;DN;SU;19.2; 0.059917;       ;       ;    ;      ;
V521 Peg    ;22 21 44.8;+18 40 08;DN;SU;17.6; 0.059900;       ;       ;    ;      ;
J1703+0908  ;17 03 43.6;+09 08 35;DN;SU;21.2; 0.059800;       ;       ;    ;      ;
DW Cnc      ;07 58 53.1;+16 16 45;NL;IP;14.0; 0.059793;       ;       ;    ;      ;
J0826-0007  ;08 26 54.7;-00 07 33;DN;SU;19.4; 0.059760;       ;       ;    ;      ;
J2112+2421  ;21 12 58.7;+24 21 46;DN;SU;21.3; 0.059732;       ;       ;    ;      ;
J1729+0054  ;17 29 29.5;+00 54 04;DN;SU;21.5; 0.059730;       ;       ;    ;      ;
J0904+0355  ;09 04 03.5;+03 55 01;DN;  ;19.1; 0.059723;       ;       ;    ;      ;
HT Cam      ;07 57 01.3;+63 06 01;NL;IP;17.8; 0.059712;       ;       ;    ; 0.550;
J0425-5714  ;04 25 38.7;-57 14 37;NL;AM;    ; 0.059598;       ;       ;    ;      ;
FS Aur      ;05 47 48.3;+28 35 11;DN;SU;15.4; 0.059581;       ;       ;    ;      ;
J1404-1027  ;14 04 54.0;-10 27 02;DN;SU;19.1; 0.059579;       ;       ;    ;      ;
J1714-2943  ;17 14 42.6;-29 43 45;DN;SU;17.1; 0.059558;       ;       ;    ;      ;
EL UMa      ;10 55 07.0;+36 59 46;DN;SU;20.3; 0.059400;       ;       ;    ;      ;
V498 Hya    ;08 45 55.1;+03 39 30;DN;SU;21.0; 0.059400;       ;       ;    ;      ;
J1751-2937  ;17 51 23.5;-29 37 55;NL;AM;22.3; 0.059390;       ;       ;    ;      ;
GQ Mus      ;11 52 02.5;-67 12 20;Na;AM;19.0; 0.059365;       ;       ;    ;      ;
EN Cet      ;00 27 28.0;-01 08 28;DN;  ;20.7; 0.059330;       ;       ;    ;      ;
V591 Cen    ;12 42 18.0;-33 34 07;DN;SU;16.0; 0.059300;       ;       ;    ;      ;
V585 Lyr    ;19 13 58.4;+40 44 09;DN;SU;21.1; 0.059300;       ;       ;    ;      ;
J1044+2113  ;10 44 11.4;+21 13 07;DN;SU;19.3; 0.059100;       ;       ;    ;      ;
RW UMi      ;16 47 54.8;+77 02 12;Nb;  ;18.5; 0.059100;       ;       ;    ;      ;
J0903+3300  ;09 03 50.7;+33 00 36;DN;SU;18.8; 0.059074;       ;       ;82.1; 0.870; 0.099
EZ Lyn      ;08 04 34.2;+51 03 49;DN;SU;17.6; 0.059005;       ;       ;    ;      ;
V498 Vul    ;19 59 51.3;+22 42 32;DN;SU;22.5; 0.059000;       ;       ;    ;      ;
J0139+3538  ;01 39 35.6;+35 38 41;DN;SU;20.8; 0.059000;       ;       ;    ;      ;
J0557-3630  ;05 57 21.8;-36 30 56;DN;SU;21.0; 0.059000;       ;       ;    ;      ;
J0643+7410  ;06 43 35.1;+74 10 15;DN;SU;21.3; 0.059000;       ;       ;    ;      ;
J1202+4503  ;12 02 31.0;+45 03 49;DN;SU;20.0; 0.059000;       ;       ;    ;      ;
J1340-3505  ;13 40 15.0;-35 05 12;DN;  ;18.4; 0.059000;       ;       ;    ;      ;
J1414+3835  ;14 14 59.7;+38 35 48;DN;SU;20.4; 0.059000;       ;       ;    ;      ;
J1650+0120  ;16 50 59.5;+01 20 07;DN;SU;21.0; 0.059000;       ;       ;    ;      ;
J1853+5945  ;18 53 09.6;+59 45 07;DN;SU;17.8; 0.059000;       ;       ;    ;      ;
J2003-3928  ;20 03 59.6;-39 28 31;DN;SU;19.3; 0.059000;       ;       ;    ;      ;
J2052-0239  ;20 52 52.7;-02 39 53;DN;SU;19.0; 0.059000;       ;       ;    ;      ;
NZ Boo      ;15 02 41.0;+33 34 24;DN;SU;17.0; 0.058910;       ;       ;88.4; 0.710; 0.078
J0755+1435  ;07 55 07.7;+14 35 48;  ;  ;18.2; 0.058860;       ;       ;    ;      ;
DV Dra      ;18 17 23.1;+50 48 18;DN;SU;21.0; 0.058830;       ;       ;    ;      ;
QZ Vir      ;11 38 27.0;+03 22 08;DN;SU;15.2; 0.058820;       ;       ;65.0; 0.160; 0.110
FL TrA      ;16 30 36.6;-61 50 21;DN;SU;21.0; 0.058800;       ;       ;    ;      ;
EG Cnc      ;08 43 04.0;+27 51 50;DN;SU;19.1; 0.058770;       ;       ;    ;      ;
V1025 Cen   ;12 38 16.5;-38 42 46;NL;IP;15.5; 0.058760;       ;       ;    ;      ;
KV Dra      ;14 50 38.3;+64 03 28;DN;SU;17.1; 0.058760;       ;       ;    ;      ;
OV Dra      ;12 50 23.9;+66 55 25;DN;SU;18.9; 0.058736;       ;       ;    ;      ;
J0311-3152  ;03 11 30.9;-31 52 50;NL;AM;16.2; 0.058720;       ;       ;    ;      ;
J2003-2849  ;20 03 31.3;-28 49 41;DN;  ;19.2; 0.058680;       ;       ;    ;      ;
V624 Peg    ;21 09 50.4;+13 48 40;DN;SU;18.7; 0.058650;       ;       ;    ;      ;
CC Scl      ;23 15 31.9;-30 48 46;DN;SU;17.3; 0.058567;       ;       ;80.6;      ;
J0137+2203  ;01 37 41.1;+22 03 12;DN;SU;20.0; 0.058540;       ;       ;    ;      ;
J0752+5305  ;07 52 55.0;+53 05 31;DN;SU;21.6; 0.058510;       ;       ;    ;      ;
J0921+2038  ;09 21 22.8;+20 38 57;NL;AM;16.6; 0.058501;       ;       ;    ;      ;
BM CrB      ;15 41 04.7;+36 02 53;NL;AM;17.2; 0.058500;       ;       ;    ;      ;
J1112-3538  ;11 12 17.4;-35 38 29;DN;SU;20.9; 0.058470;       ;       ;    ;      ;
J2230-1458  ;22 30 03.0;-14 58 35;DN;SU;21.0; 0.058410;       ;       ;    ;      ;
RZ LMi      ;09 51 49.0;+34 07 25;DN;SU;17.0; 0.058400;       ;       ;    ;      ;
J2154+2641  ;21 54 57.7;+26 41 13;DN;SU;18.8; 0.058380;       ;       ;    ;      ;
J0748+3125  ;07 48 59.5;+31 25 13;DN;SU;17.7; 0.058311;       ;       ;    ;      ;
J1735+1547  ;17 35 16.9;+15 47 08;DN;SU;19.1; 0.058300;       ;       ;    ;      ;
WX Cet      ;01 17 04.2;-17 56 23;DN;SU;17.5; 0.058261;       ;       ;    ; 0.550; 0.047
J1706+1434  ;17 06 09.7;+14 34 52;DN;SU;18.5; 0.058200;       ;       ;    ;      ;
V386 Ser    ;16 10 33.7;-01 02 22;DN;ZZ;18.9; 0.058100;       ;       ;    ;      ;
J1955+0045  ;19 55 12.5;+00 45 37;NL;AM;15.6; 0.058051;       ;       ;    ;      ;
FZ Cet      ;01 42 25.3;-22 15 58;DN;SU;19.2; 0.058000;       ;       ;    ;      ;
IL Leo      ;10 31 00.6;+20 28 32;NL;AM;18.3; 0.058000;>M6    ;       ;    ;      ;
V1186 Sco   ;17 12 51.3;-30 56 38;Na;  ;20.0; 0.058000;       ;       ;    ;      ;
J0221+6019  ;02 21 11.9;+60 21 49;DN;SU;19.0; 0.058000;       ;       ;    ;      ;
J0732+0641  ;07 32 08.1;+06 41 50;DN;SU;22.0; 0.058000;       ;       ;    ;      ;
J1723+3304  ;17 23 26.0;+33 04 14;DN;SU;21.9; 0.058000;       ;       ;    ;      ;
J1815+6920  ;18 15 23.8;+69 20 37;DN;SU;22.0; 0.058000;       ;       ;    ;      ;
J2036-1311  ;20 36 44.2;-13 11 56;DN;SU;21.0; 0.058000;       ;       ;    ;      ;
V805 Aur    ;06 27 03.8;+39 52 49;DN;SU;20.7; 0.057870;       ;       ;    ;      ;
J2100-0242  ;21 00 16.0;-02 42 58;DN;SU;20.5; 0.057870;       ;       ;    ;      ;
V598 Peg    ;23 33 25.9;+15 22 22;NL;IP;18.3; 0.057720;       ;       ;    ;      ;
MM Hya      ;09 14 14.0;-06 47 45;DN;SU;18.7; 0.057590;       ;       ;    ;      ;
J2111-3956  ;21 11 04.7;-39 56 34;DN;SU;22.1; 0.057570;       ;       ;    ;      ;
J1759+2520  ;17 59 24.1;+25 20 32;DN;SU;21.5; 0.057534;       ;       ;    ;      ;
J2205+1155  ;22 05 54.0;+11 55 54;DN;SU;20.1; 0.057520;       ;       ;    ;      ;
J0234-0454  ;02 34 27.7;-04 54 31;DN;SU;17.0; 0.057506;       ;       ;    ;      ;
J2224-2924  ;22 24 16.3;-29 24 22;DN;SU;20.9; 0.057400;       ;       ;    ;      ;
V355 UMa    ;13 39 41.1;+48 47 27;DN;SU;17.7; 0.057310;>M8    ;       ;    ;      ;
DO Vul      ;19 52 10.7;+19 34 43;DN;SU;20.7; 0.057300;       ;       ;    ;      ;
J2338-2049  ;23 38 22.5;-20 49 52;DN;SU;21.6; 0.057255;       ;       ;    ;      ;
J0043-0037  ;00 43 35.1;-00 37 30;DN;ZZ;19.8; 0.057170;       ;       ;    ;      ;
J0120+3255  ;01 20 59.6;+32 55 45;DN;SU;20.0; 0.057145;       ;       ;    ;      ;
HV Vir      ;13 21 03.2;+01 53 29;DN;SU;19.0; 0.057069;L5:    ;       ;    ;      ;
V1838 Aql   ;19 15 02.1;+07 19 48;DN;SU;18.6; 0.057060;       ;       ;    ;      ;
J1035+0551  ;10 35 33.0;+05 51 58;DN;BD;18.8; 0.057007;>L0    ;       ;84.0; 0.840; 0.048
J0636-3114  ;06 36 17.4;-31 14 43;DN;SU;19.9; 0.057000;       ;       ;    ;      ;
J0738-8250  ;07 38 19.4;-82 50 40;DN;SU;19.1; 0.057000;       ;       ;    ;      ;
J0751+3006  ;07 51 07.5;+30 06 28;DN;SU;19.8; 0.057000;       ;       ;    ;      ;
J0758-5722  ;07 58 08.5;-57 22 42;DN;SU;20.3; 0.057000;       ;       ;    ;      ;
J0811+1520  ;08 11 17.1;+15 20 03;DN;SU;22.2; 0.057000;       ;       ;    ;      ;
J0811+6600  ;08 11 10.4;+66 00 10;DN;SU;21.9; 0.057000;       ;       ;    ;      ;
J0948+0149  ;09 48 54.0;+01 49 11;DN;SU;20.7; 0.057000;       ;       ;    ;      ;
J1058+0547  ;10 58 35.1;+05 47 06;DN;SU;20.4; 0.057000;       ;       ;    ;      ;
J1304+0103  ;13 04 41.8;+01 03 31;DN;SU;20.8; 0.057000;       ;       ;    ;      ;
J1616+1151  ;16 16 18.7;+11 51 05;DN;SU;21.0; 0.057000;       ;       ;    ;      ;
J2155+2741  ;21 55 12.7;+27 41 19;DN;SU;20.6; 0.057000;       ;       ;    ;      ;
J1610+0907  ;16 10 27.6;+09 07 38;DN;SU;20.1; 0.056870;       ;       ;    ;      ;
J1501+5501  ;15 01 37.2;+55 01 23;DN;SU;19.4; 0.056841;       ;       ;82.8; 0.770; 0.077
J1819+3613  ;18 19 53.8;+36 13 56;DN;SU;21.6; 0.056840;       ;       ;    ;      ;
SW UMa      ;08 36 42.8;+53 28 38;DN;SU;16.5; 0.056815;       ;       ;45.0; 0.710; 0.100
V1108 Her   ;18 39 26.2;+26 04 10;DN;SU;17.1; 0.056720;L1     ;       ;    ;      ;
GR Ori      ;05 21 35.0;+01 10 10;DN;SU;22.8; 0.056700;       ;       ;    ;      ;
PT Per      ;02 42 51.2;+56 41 32;NL;AM;14.5; 0.056700;       ;       ;    ;      ;
J1605+2030  ;16 05 01.4;+20 30 57;DN;SU;19.9; 0.056700;       ;       ;    ;      ;
J2313+16    ;23 13 00.0;+16 00 00;NL;IP;16.6; 0.056700;       ;       ;    ;      ;
PU CMa      ;06 40 47.7;-24 23 14;DN;SU;16.2; 0.056694;       ;       ;    ;      ;
WZ Sge      ;20 07 36.4;+17 42 15;SU;WZ;15.0; 0.056688;L2-8   ;DAQZ5  ;77.0; 0.850; 0.078
J0503-2823  ;05 03 49.2;-28 23 09;NL;IP;16.7; 0.056670;       ;       ;    ;      ;
AL Com      ;12 32 25.9;+14 20 43;DN;SU;20.5; 0.056669;       ;       ;    ;      ; 0.180
SS LMi      ;10 34 05.9;+31 08 00;DN;SU;21.5; 0.056640;       ;       ;    ;      ;
GY Cet      ;01 31 32.4;-09 01 22;DN;ZZ;18.5; 0.056630;       ;       ;    ;      ;
J1532-2833  ;15 32 00.4;-28 33 57;DN;SU;21.2; 0.056600;       ;       ;    ;      ;
J1751-2942  ;17 51 47.4;-29 42 15;NL;AM;21.4; 0.056600;       ;       ;    ;      ;
FL Psc      ;00 25 11.1;+12 17 12;DN;SU;17.3; 0.056540;M9     ;       ;    ;      ;
J0902+0525  ;09 02 39.7;+05 25 01;DN;SU;23.2; 0.056520;       ;       ;    ;      ;
LV Cnc      ;09 19 45.1;+08 57 10;DN;ZZ;18.2; 0.056500;       ;       ;    ;      ;
V1454 Cyg   ;19 53 38.5;+35 21 46;DN;SU;20.5; 0.056500;       ;       ;    ;      ;
V466 And    ;02 00 25.4;+44 10 19;DN;SU;20.9; 0.056370;       ;       ;    ;      ;
V455 And    ;23 34 01.6;+39 21 43;DN;SU;16.1; 0.056310;~L2    ;       ;    ;      ;
EF Eri      ;03 14 13.0;-22 35 41;NL;AM;13.7; 0.056266;L4-5   ;       ;    ; 0.650; 0.060
V391 Cam    ;05 32 33.9;+62 47 52;DN;SU;17.5; 0.056200;       ;       ;    ;      ;
J0057+4431  ;00 57 41.0;+44 31 02;DN;SU;20.9; 0.056190;       ;       ;    ;      ;
J0309+2638  ;03 09 29.8;+26 38 04;DN;SU;19.5; 0.056150;       ;       ;    ;      ;
J0652+4710  ;06 52 26.7;+47 10 57;DN;SU;22.0; 0.056090;       ;       ;    ;      ;
PQ And      ;02 29 29.5;+40 02 39;DN;SU;19.1; 0.056000;       ;       ;    ;      ;
